X,Y,OBJECTID,ABBREVIATI,NAME,CITY,ACCESSIBLE,SHELTER,COMMENTS,DIR,POS,LON,LAT,NUMBER,STATUS
664002.2339,4861899.7626,1,133,Cochrane Southbound @ White Ash,,0,0, , , ,-78.958143,43.891961,133,On Demand
677030.2107,4863229.8143,2,1331,Southbound @ 2432 Prestonvale,,1,0, , , ,-78.795615,43.900915,1331,On Demand
677082.4482,4862910.7617,3,1332,Prestonvale Southbound @ Glenabbey,,1,0, , , ,-78.795071,43.898032,1332,On Demand
677137.4667,4862541.8847,4,1333,Prestonvale Southbound @ Meadowglade,,1,0, , , ,-78.794509,43.8947,1333,On Demand
677195.5122,4862252.4488,5,1334,Prestonvale Southbound @ Bloor,,1,0, , , ,-78.793883,43.892082,1334,On Demand
677187.5803,4861866.2193,6,1335,Prestonvale Southbound @ Southfield,,1,0, , , ,-78.79411,43.888609,1335,On Demand
676828.7259,4862138.5172,7,1339,Rosswell Northbound @ Bloor,,1,0, , , ,-78.798484,43.891145,1339,On Demand
664140.0276,4861397.8325,8,134,Bonacord Westbound @ Cochrane,,1,1, , , ,-78.956583,43.887414,134,On Demand
676578.2146,4862611.4064,9,1342,Glenabbey Westbound @ Auburn,,1,0, , , ,-78.801444,43.8954596,1342,On Demand
676367.1997,4862485.6835,10,1343,Glenabbey Westbound @ Bruntsfield,,1,0, , , ,-78.804111,43.894379,1343,On Demand
663857.2517,4861310.3816,11,135,Bonacord Westbound @ Holliday,,1,0, , , ,-78.960128,43.88669,135,On Demand
670663.3552,4866142.6913,12,1353,Northbound @ 1185 Mary,,1,0, , , ,-78.873907,43.928625,1353,Scheduled
670769.268,4866424.6116,13,1354,Nonquon Northbound @ Mary,,1,1, , , ,-78.872498,43.931137,1354,Scheduled
670788.546,4866574.1516,14,1355,Mary Northbound @ Nonquon,,1,1, , , ,-78.87221,43.932478,1355,Scheduled
670739.1707,4866726.0266,15,1356,Mary Northbound @ Taunton,,1,0, , , ,-78.872776,43.9338559,1356,Scheduled
670768.7753,4862485.3642,16,1359,Park Southbound @ King,,1,0, , , ,-78.873767,43.895694,1359,Scheduled
663594.9437,4861191.2183,17,136,Bonacord Westbound @ Frost,,1,1, , , ,-78.963428,43.885676,136,On Demand
670843.6062,4862276.0091,18,1360,Park Southbound @ Pine,,1,0, , , ,-78.872903,43.893793,1360,Scheduled
670914.6897,4862075.0049,19,1361,Park Southbound @ Elmgrove,,1,0, , , ,-78.872083,43.891968,1361,Scheduled
671107.9027,4861526.7517,20,1362,Park Southbound @ Marland,,1,0, , , ,-78.869855,43.8869903,1362,Scheduled
670921.2693,4862108.5061,21,1363,Park Northbound @ John,,1,0, , , ,-78.87199,43.8922679,1363,Scheduled
670821.4756,4862373.867,22,1364,Park Northbound @ King,,1,1, , , ,-78.873147,43.8946786,1364,Scheduled
670740.7411,4862606.5658,23,1365,Park Northbound @ Buena Vista,,1,0, , , ,-78.874077,43.896791,1365,Future service
670671.8929,4862805.4061,24,1366,Park Northbound @ Colborne,,1,0, , , ,-78.87487,43.898596,1366,On Demand
670597.2709,4863022.6593,25,1367,Park Northbound @ Elgin,,1,0, , , ,-78.875729,43.900568,1367,On Demand
663320.4988,4861003.0852,26,137,Bonacord Westbound @ McQuay,,1,0, , , ,-78.9669,43.884044,137,On Demand
671037.9888,4866254.9361,27,1371,Beatrice Westbound @ Sycamore,,1,1, , , ,-78.869207,43.929548,1371,Scheduled
670771.0215,4865960.7453,28,1372,Beatrice Westbound @ Mary,,1,0, , , ,-78.872625,43.926963,1372,Scheduled
663353.7823,4860712.1734,29,138,McQuay Southbound @ Roan,,1,0, , , ,-78.966575,43.881419,138,On Demand
670838.4337,4867050.3533,30,1387,Northbound @ 227 Ormond,,1,0, , , ,-78.871436,43.936751,1387,Scheduled
670900.3334,4867166.4277,31,1388,Ormond Eastbound @ Ritson,,1,0, , , ,-78.870628,43.937781,1388,Scheduled
663428.7099,4860538.7569,32,139,McQuay Southbound @ Kennett,,1,0, , , ,-78.965696,43.879842,139,On Demand
693214.723,4865957.8745,33,1392,North Northbound @ Monroe,,0,0, , , ,-78.593264,43.921392,1392,On Demand
691112.0584,4873672.6572,34,1393,Peters Southbound @ Taunton,,0,0, , , ,-78.616659,43.991341,1393,On Demand
690908.2068,4873583.8392,35,1394,Robins Northbound @ Taunton,,0,0, , , ,-78.619231,43.990595,1394,On Demand
690819.859,4872868.619,36,1395,Main Southbound @ Millson Hill,,0,0, , , ,-78.620589,43.984184,1395,On Demand
691085.8127,4872122.8313,37,1396,Main Southbound @ Centreview,,1,0, , , ,-78.617544,43.977406,1396,On Demand
665245.0738,4863358.7174,38,14,Garden Northbound @ Dryden,,1,0, , , ,-78.942227,43.904811,14,On Demand
663640.4271,4860370.0455,39,140,McQuay Southbound @ Moonstone,,1,0, , , ,-78.963114,43.878277,140,On Demand
693577.8126,4865565.0533,40,1408,Mill Northbound @ King,,1,0, , , ,-78.588888,43.917763,1408,On Demand
693565.9633,4865560.8164,41,1409,Mill Southbound @ King,,1,0, , , ,-78.589037,43.917728,1409,On Demand
663717.112,4860191.0072,42,141,McQuay Southbound @ Allayden,,1,0, , , ,-78.962215,43.876649,141,On Demand
693229.2901,4865929.5076,43,1410,North Southbound @ Grady,,1,0, , , ,-78.593093,43.921133,1410,On Demand
693389.5267,4865469.0688,44,1411,King Westbound @ North,,1,0, , , ,-78.591266,43.916949,1411,On Demand
693423.9454,4865468.1834,45,1412,King Eastbound @ Baldwin,,1,0, , , ,-78.590838,43.916932,1412,On Demand
692907.0699,4865297.7126,46,1413,King Westbound @ Massey,,1,1, , , ,-78.597332,43.915534,1413,On Demand
692880.8286,4865274.3826,47,1414,King Eastbound @ Massey,,1,0, , , ,-78.597667,43.915331,1414,On Demand
692638.4303,4865203.7479,48,1415,King Westbound @ Rudell,,1,1, , , ,-78.600709,43.914759,1415,On Demand
692571.957,4865165.5771,49,1416,Highway 2 Eastbound @ Rudell Road,,1,0, , , ,-78.60155,43.914433,1416,On Demand
691674.9122,4864976.3908,50,1417,Newcastle Carpool Lot,,1,0, , , ,-78.612781,43.912965,1417,Scheduled
663785.9969,4859953.542,51,142,Jeffery Southbound @ Dundas,,1,1, , , ,-78.961431,43.874497,142,On Demand
663859.9012,4859737.6505,52,143,Jeffery Southbound @ Michael,,1,0, , , ,-78.960578,43.872538,143,On Demand
686222.2092,4864552.9757,53,1430,King Westbound @ Liberty,,1,1, , , ,-78.680784,43.910554,1430,Scheduled
685783.6321,4864643.7137,54,1431,King Westbound @ George,,1,0, , , ,-78.68621,43.911481,1431,Scheduled
685595.5776,4864713.1438,55,1432,King Westbound @ Temperance,,1,1, , , ,-78.688526,43.912153,1432,Scheduled On Demand Shared
685068.8239,4864788.3435,56,1433,King Westbound @ Roenigk,,1,1, , , ,-78.695055,43.912962,1433,Scheduled
683326.4555,4864376.4569,57,1436,Highway 2 Westbound @ Boswell,,1,0, , , ,-78.71688,43.909692,1436,Scheduled
663812.7412,4859498.434,58,144,Michael Southbound @ McFarlane,,1,0, , , ,-78.961238,43.870396,144,On Demand
663856.5778,4859370.5981,59,145,Michael Southbound @ Evans,,1,0, , , ,-78.960732,43.869236,145,On Demand
684324.8074,4864213.1718,60,1450,Bowmanville GO Park and Ride,,1,0, , , ,-78.704513,43.907974,1450,On Demand
685075.7594,4864767.3063,61,1452,King Eastbound @ Roenigk,,1,0, , , ,-78.694976,43.912771,1452,Scheduled
685289.6304,4864783.0623,62,1453,King Eastbound @ Scugog Street,,1,0, , , ,-78.692309,43.912859,1453,Future service
685693.8604,4864661.318,63,1454,King Eastbound @ Division,,1,0, , , ,-78.687321,43.911662,1454,Scheduled
685897.383,4864596.3259,64,1455,King Eastbound @ Ontario,,1,0, , , ,-78.684811,43.911026,1455,Scheduled On Demand Shared
686212.7819,4864536.7042,65,1456,King Eastbound @ Liberty,,1,1, , , ,-78.680907,43.91041,1456,Scheduled
664040.6217,4859256.449,66,146,Michael Eastbound @ Marbury,,1,0, , , ,-78.958478,43.868168,146,On Demand
686696.9423,4865915.1167,67,1464,Mearns Northbound @ Guildwood,,1,0, , , ,-78.674399,43.922688,1464,On Demand
664303.0593,4859305.0578,68,147,Michael Eastbound @ Harper,,1,0, , , ,-78.955199,43.868547,147,On Demand
686025.6475,4867415.0953,69,1470,Freeland Westbound @ Rickaby,,1,0, , , ,-78.68223,43.936352,1470,On Demand
685789.619,4867330.3272,70,1471,Freeland Westbound @ Jollow,,1,0, , , ,-78.685198,43.935649,1471,On Demand
685502.8254,4867119.0944,71,1473,Freeland Westbound @ Copeland,,1,0, , , ,-78.688842,43.933821,1473,On Demand
684864.5797,4866106.9591,72,1476,Scugog Southbound @ Longworth,,1,0, , , ,-78.697139,43.924876,1476,On Demand
685022.9374,4865666.4197,73,1477,Scugog Southbound @ Jackman,,1,1, , , ,-78.695321,43.920873,1477,On Demand
685166.4678,4865239.586,74,1478,Scugog Southbound @ O'Dell,,1,0, , , ,-78.693683,43.916997,1478,On Demand
664527.3565,4859351.5095,75,148,Michael Southbound @ Burns,,1,0, , , ,-78.952395,43.868915,148,On Demand
685329.6282,4863492.7662,76,1489,Waverley Northbound @ Rhonda,,1,0, , , ,-78.69226,43.901241,1489,On Demand
664633.0291,4859340.7923,77,149,Burns Eastbound @ Michael,,1,1, , , ,-78.951084,43.868795,149,On Demand
685157.989,4863977.948,78,1490,Waverley Northbound @ Lawrence,,1,0, , , ,-78.694227,43.905649,1490,On Demand
685006.3408,4864407.0015,79,1491,Waverley Northbound @ Strike,,1,0, , , ,-78.695965,43.909547,1491,On Demand
685114.0303,4864755.0361,80,1492,Roenigk Northbound @ King,,1,0, , , ,-78.694504,43.912651,1492,On Demand
686498.1874,4863866.6426,81,1494,Liberty Southbound @ Park,,1,0, , , ,-78.677589,43.9043097,1494,On Demand
686683.0994,4864652.0846,82,1498,Simpson Northbound @ King,,1,1, , , ,-78.675014,43.911329,1498,Scheduled On Demand Shared
686378.6964,4864311.9374,83,1499,Prince Eastbound @ Liberty (Lakeridge Health Bowmanville),,1,1, , , ,-78.678921,43.908346,1499,Scheduled
665103.301,4863766.5069,84,15,Garden Northbound @ Willowbrook,,1,0, , , ,-78.943865,43.908512,15,On Demand
664824.0402,4859403.3218,85,150,Burns Eastbound @ Annes,,1,0, , , ,-78.948689,43.869315,150,On Demand
684110.7655,4864260.8018,86,1504,Clarington Boulevard Southbound @ Prince William,,1,1, , , ,-78.70716,43.908456,1504,Scheduled On Demand Shared
650023.6496,4852869.0817,87,1510,Altona Northbound @ Fiddlers,,1,0, , , ,-79.134619,43.813671,1510,On Demand
649970.606,4853050.05,88,1511,Altona Northbound @ Rougemount,,1,0, , , ,-79.135227,43.8153103,1511,On Demand
649870.8614,4853304.0189,89,1512,Altona Northbound @ Sheppard,,1,0, , , ,-79.136396,43.817616,1512,On Demand
649753.5989,4853591.265,90,1513,Altona Northbound @ Granby,,1,0, , , ,-79.137773,43.8202247,1513,On Demand
649153.3329,4854249.9932,91,1518,Pine Grove Southbound @ Sandhurst,,1,0, , , ,-79.14505,43.826274,1518,On Demand
649081.5543,4854125.1488,92,1519,Pine Grove Westbound @ Nordane,,1,0, , , ,-79.145977,43.825165,1519,On Demand
648879.9694,4854059.2937,93,1520,Pine Grove Westbound @ Rockwood,,1,0, , , ,-79.148501,43.824613,1520,On Demand
648766.7588,4853829.7375,94,1521,Pine Grove Southbound @ Valley Ridge,,1,0, , , ,-79.149972,43.82257,1521,On Demand
648647.8866,4853719.958,95,1522,Valley Ridge Southbound @ Copley,,1,0, , , ,-79.15148,43.821606,1522,On Demand
648698.8469,4853570.9708,96,1523,Valley Ridge Southbound @ Thicket,,1,0, , , ,-79.150888,43.820255,1523,On Demand
648758.0397,4853402.9439,97,1524,Valley Ridge Southbound @ White Pine,,1,0, , , ,-79.150199,43.818731,1524,On Demand
649105.8923,4853340.8354,98,1525,Hogarth Eastbound @ Rockwood,,1,0, , , ,-79.145893,43.818102,1525,On Demand
665869.447,4859756.5422,99,153,Burns Eastbound @ Athol,,1,0, , , ,-78.935577,43.872259,153,Future service
666110.2813,4859835.2295,100,154,Burns Eastbound @ Billings,,1,0, , , ,-78.932557,43.8729128,154,Future service
649921.0141,4853127.2408,101,1541,Altona Southbound @ Littleford,,1,1, , , ,-79.135822,43.816015,1541,On Demand
650020.989,4852851.4642,102,1542,Altona Southbound @ Fiddlers,,1,0, , , ,-79.134657,43.813513,1542,On Demand
649745.3776,4853874.2549,103,1545,Strouds Lane Eastbound @ Tilson,,1,0, , , ,-79.137796,43.822773,1545,On Demand
650043.5973,4854010.9898,104,1546,Strouds Lane Eastbound @ Treetop Way,,1,0, , , ,-79.134051,43.823943,1546,On Demand
650158.6113,4854197.8282,105,1547,Strouds Lane Eastbound @ Autumn,,1,0, , , ,-79.132569,43.825601,1547,On Demand
650333.3269,4854270.1161,106,1548,Strouds Lane Eastbound @ Rosebank,,1,0, , , ,-79.130377,43.826216,1548,On Demand
666318.6971,4859847.7,107,155,Burns Eastbound @ Garden,,1,0, , , ,-78.92996,43.8729781,155,Future service
650420.4525,4853516.0007,108,1550,Sheppard Westbound @ Old Forest,,1,0, , , ,-79.129506,43.819412,1550,On Demand
649991.9929,4853364.6852,109,1551,Eastbound @ 333 Sheppard,,1,0, , , ,-79.134873,43.8181373,1551,On Demand
650366.5262,4853491.8901,110,1552,Sheppard Eastbound @ Old Forest,,1,0, , , ,-79.130183,43.819206,1552,On Demand
650573.5252,4853937.289,111,1554,Foxwood Trail Eastbound @ Laurier,,1,0, , , ,-79.127485,43.823172,1554,On Demand
650848.981,4853966.6443,112,1555,Foxwood Trail Eastbound @ Gardenview,,1,0, , , ,-79.124053,43.82338,1555,On Demand
666813.2424,4860057.1778,113,156,Denison Northbound @ Burns,,1,0, , , ,-78.923744,43.8747513,156,On Demand
650296.0865,4854508.2537,114,1566,Rosebank Southbound @ Woodsmere,,1,0, , , ,-79.130773,43.8283665,1566,On Demand
650367.5268,4854323.1174,115,1567,Rosebank Southbound @ Strouds,,1,0, , , ,-79.129937,43.826686,1567,On Demand
650396.0615,4854277.9797,116,1568,Rosebank Northbound @ Strouds,,1,0, , , ,-79.129595,43.826274,1568,On Demand
666583.5807,4860114.0597,117,157,Lupin Northbound @ Dublin,,1,0, , , ,-78.926583,43.875315,157,On Demand
650498.5596,4855006.4928,118,1570,Highview Westbound @ Woodside,,1,0, , , ,-79.128116,43.832809,1570,On Demand
650348.6476,4855019.3255,119,1571,Highview Westbound @ Montclair,,1,0, , , ,-79.129976,43.832955,1571,On Demand
650176.9906,4854962.1068,120,1572,Highview Westbound @ Rosebank,,1,0, , , ,-79.132126,43.832475,1572,On Demand
650667.5141,4854437.2526,121,1574,Strouds Lane Northbound @ Fernam,,1,0, , , ,-79.126176,43.827652,1574,On Demand
650831.5693,4854556.9849,122,1575,Strouds Lane Eastbound @ Foxwood Trail,,1,0, , , ,-79.124103,43.828696,1575,Future service
650737.2338,4853970.0004,123,1579,Foxwood Trail Westbound @ Braeburn,,1,0, , , ,-79.125441,43.823433,1579,On Demand
666444.8877,4860367.8659,124,158,Lupin Northbound @ Hutchison,,1,0, , , ,-78.928229,43.87763,158,On Demand
650528.6418,4853933.2728,125,1580,Foxwood Trail Westbound @ Rosebank,,1,0, , , ,-79.128044,43.823145,1580,On Demand
651331.5199,4854733.052,126,1581,Strouds Lane Eastbound @ Shadybrook,,1,0, , , ,-79.117838,43.8301782,1581,Future service
651563.4873,4854909.8128,127,1582,Strouds Lane Eastbound @ Spruce Hill,,1,0, , , ,-79.114905,43.8317213,1582,On Demand
651876.3656,4855021.1526,128,1583,Strouds Lane Eastbound @ Fairport,,1,0, , , ,-79.110984,43.832659,1583,On Demand
651409.0876,4854808.5822,129,1584,Strouds Lane Westbound @ Cricket Lane,,1,0, , , ,-79.116853,43.830842,1584,Future service
651153.2049,4854677.079,130,1585,Strouds Lane Westbound @ Whites (East side stop),,1,1, , , ,-79.120071,43.829711,1585,Future service
651052.1313,4854643.1119,131,1586,Strouds Lane Westbound @ Whites (West side stop),,1,0, , , ,-79.121337,43.829426,1586,Future service
661085.7824,4859190.7815,132,1587,Kingston Westbound @ Audley,,0,0, , , ,-78.995249,43.868228,1587,Scheduled
660645.3972,4859045.8647,133,1588,Kingston Westbound @ Alexanders Crossing,,1,1, , , ,-79.00077,43.86702,1588,Scheduled
666352.2839,4860633.8321,134,159,Lupin Northbound @ Dunlop,,1,0, , , ,-78.929298,43.880044,159,On Demand
659705.5951,4858727.0743,135,1590,Kingston Westbound @ Wicks,,1,1, , , ,-79.012554,43.8643554,1590,Scheduled
659363.6138,4858613.6178,136,1591,Kingston Westbound @ Salem,,1,1, , , ,-79.016841,43.8634084,1591,Scheduled
658907.2667,4858458.502,137,1593,Westbound @ 84 Kingston,,1,1, , , ,-79.022563,43.862111,1593,Scheduled
658573.9439,4858346.0948,138,1594,Kingston Westbound @ Harwood,,1,1, , , ,-79.026741,43.8611712,1594,Scheduled
658177.1535,4858205.9219,139,1595,Westbound @ 132 Kingston,,1,1, , , ,-79.031718,43.859995,1595,Scheduled
657911.8985,4858117.2631,140,1596,Kingston Westbound @ Chapman,,1,1, , , ,-79.035043,43.859254,1596,Scheduled
657570.6365,4858005.3638,141,1597,Kingston Westbound @ Westney Heights Plaza,,1,0, , , ,-79.03932,43.85832,1597,Scheduled
657273.9064,4857900.5377,142,1598,Kingston Westbound @ Westney,,1,1, , , ,-79.043041,43.85744,1598,Scheduled
656885.9929,4857764.4554,143,1599,Kingston Westbound @ Mill,,1,1, , , ,-79.047905,43.856298,1599,Scheduled
665033.1584,4863973.0329,144,16,Garden Northbound @ Meadowglen,,1,0, , , ,-78.944674,43.910386,16,On Demand
666279.9848,4860840.4045,145,160,Lupin Northbound @ Dundas,,1,0, , , ,-78.930133,43.881919,160,On Demand
656296.7534,4857568.2038,146,1600,Kingston Westbound @ Church,,1,1, , , ,-79.05529,43.854657,1600,Scheduled
655867.1721,4857410.5329,147,1601,Kingston Westbound @ Elizabeth,,1,1, , , ,-79.060678,43.853329,1601,Scheduled
655542.1963,4857297.5675,148,1602,Kingston Westbound @ Notion,,1,1, , , ,-79.064752,43.852381,1602,Scheduled
655045.5532,4857037.8445,149,1603,Kingston Westbound @ Bainbridge,,1,1, , , ,-79.071003,43.8501483,1603,Scheduled
654768.753,4856761.5403,150,1604,Kingston Westbound @ Brock Road,,1,1, , , ,-79.074525,43.84772,1604,Scheduled
654096.2034,4856080.0379,151,1607,Kingston Westbound @ Valley Farm,,1,1, , , ,-79.083084,43.841728,1607,Scheduled
653752.0056,4855674.456,152,1608,Kingston Westbound @ Glenanna,,1,1, , , ,-79.08748,43.83815,1608,Scheduled
653472.6501,4855371.2933,153,1609,Kingston Westbound @ Liverpool,,1,1, , , ,-79.09104,43.83548,1609,Scheduled
666273.6363,4860833.9106,154,161,Lupin Southbound @ Dundas,,1,1, , , ,-78.930214,43.881862,161,On Demand
653026.9131,4854859.8619,155,1610,Kingston Westbound @ Walnut,,1,1, , , ,-79.096727,43.8309701,1610,Scheduled
652875.2108,4854644.1011,156,1611,Kingston Westbound @ Dixie,,1,1, , , ,-79.098675,43.82906,1611,Scheduled
652265.976,4854036.2702,157,1612,Kingston Westbound @ Fairport,,1,1, , , ,-79.106421,43.823716,1612,Scheduled
651826.5564,4853802.5309,158,1613,Westbound @ 804 Kingston,,1,0, , , ,-79.111949,43.821703,1613,Scheduled
