route_id,weekday_trips,avg_duration_min,avg_distance_km,avg_n_stops,avg_speed_kmh,stops_per_km,weekday_service_hours,region,median_headway_min,headway_cov,peak_trip_share,bucket,ROUTE_ID,ROUTE_NAME,GIS_STATUS,SHAPESTLength_km,gis_vs_gtfs_ratio
900,334,59.59,27.39,53.81,27.79,1.96,331.7,PULSE/Regional,0.0,1.07,0.4,A,900,PULSE - Highway 2,Current,33.5966030072647,1.23
920,202,73.84,38.36,59.15,31.09,1.54,248.6,PULSE/Regional,0.0,1.1,0.43,B,,,,,
916,216,59.38,30.12,66.23,30.83,2.2,213.8,PULSE/Regional,0.0,1.03,0.41,A,916,Rossland,Current,29.295078788196598,0.97
915,212,57.03,30.91,55.53,32.86,1.8,201.5,PULSE/Regional,1.0,1.03,0.41,A,915,Taunton,Current,23.1984292701056,0.75
901,400,28.88,10.92,25.68,23.11,2.35,192.5,PULSE/Regional,0.0,1.28,0.41,A,901,PULSE - Simcoe,Current,19.613899922639497,1.8
905,234,48.97,26.67,50.78,31.15,1.9,191.0,PULSE/Regional,0.0,1.25,0.42,B,905,Thickson-Reach,Current,24.209845896232,0.91
902,192,57.55,24.0,46.62,25.18,1.94,184.2,PULSE/Regional,0.0,1.06,0.42,B,,,,,
917,172,55.33,24.03,48.55,26.7,2.02,158.6,PULSE/Regional,5.0,1.03,0.37,B,917,Bayly-Consumers,Current,35.108661780169804,1.46
302,170,47.84,24.49,48.68,30.94,1.99,135.5,Whitby,0.0,1.1,0.47,B,302,Baldwin-Brock,Current,14.420031334088,0.59
921,78,80.15,45.07,32.62,33.84,0.72,104.2,PULSE/Regional,0.0,3.45,0.83,C,,,,,
407,134,41.0,19.29,43.81,28.34,2.27,91.6,Oshawa,0.0,1.08,0.38,B,407,Ritson,Current,22.965273372078403,1.19
421,114,47.96,21.89,44.25,27.55,2.02,91.1,Oshawa,0.0,1.06,0.39,B,,,,,
216,202,26.36,11.62,33.73,26.78,2.9,88.7,Ajax,0.0,1.16,0.48,B,216,Harwood North,Current,10.0419187845599,0.86
121,136,37.93,17.57,37.19,27.89,2.12,86.0,Pickering,0.0,1.02,0.39,B,,,,,
405,132,31.8,15.31,39.55,29.02,2.58,70.0,Oshawa,0.0,1.02,0.42,B,405,Wilson,Current,16.905822356896998,1.1
502,132,31.64,15.68,29.8,29.84,1.9,69.6,Clarington,0.0,1.07,0.44,B,,,,,
403,174,23.95,11.53,26.9,28.89,2.33,69.5,Oshawa,0.0,1.22,0.47,B,403,Park,Current,13.206203188732001,1.15
224,136,30.68,14.1,38.59,28.25,2.74,69.5,Ajax,0.0,1.02,0.4,B,224,Harwood-Salem,Current,17.903203492858502,1.27
410,148,28.19,12.84,42.47,27.43,3.31,69.5,Oshawa,0.0,1.02,0.4,B,410,Olive-Harmony,Current,12.516672685561499,0.97
N1,62,66.97,42.92,80.45,38.46,1.87,69.2,night,,,,B,,,,,
409,130,27.91,14.75,27.22,31.81,1.85,60.5,Oshawa,0.5,1.02,0.42,B,,,,,
618,34,104.18,80.88,33.71,47.16,0.42,59.0,Rural,38.0,0.89,0.5,B,,,,,
112,112,31.0,18.21,28.54,35.36,1.57,57.9,Pickering,0.0,1.03,0.45,B,,,,,
423,108,28.98,13.99,42.0,29.05,3.0,52.2,Oshawa,0.0,1.02,0.44,B,,,,,
419,130,23.25,9.02,17.43,23.45,1.93,50.4,Oshawa,0.0,1.02,0.41,B,,,,,
118,110,22.56,13.39,17.49,35.92,1.31,41.4,Pickering,0.0,1.03,0.44,B,,,,,
227,50,46.96,19.99,47.52,25.55,2.38,39.1,Ajax,8.0,2.66,0.82,C,,,,,
319,112,19.68,10.37,26.25,31.95,2.53,36.7,Whitby,0.0,1.02,0.44,B,,,,,
301,106,19.4,10.57,27.34,33.12,2.59,34.3,Whitby,0.0,1.05,0.41,B,,,,,
N2,74,26.86,14.84,31.22,33.79,2.1,33.1,night,,,,B,,,,,
211,52,26.5,12.18,30.85,27.6,2.53,23.0,Ajax,0.0,2.15,0.76,C,,,,,
505,60,20.13,8.86,12.2,28.07,1.38,20.1,Clarington,0.0,2.88,0.72,C,,,,,
605,42,24.0,10.35,27.0,25.86,2.61,16.8,Rural,0.0,1.14,0.42,B,,,,,
392,106,8.02,3.2,8.51,24.26,2.66,14.2,Whitby,0.0,1.02,0.45,B,,,,,
507,24,30.17,20.97,18.33,41.79,0.87,12.1,Clarington,0.0,2.08,0.73,C,,,,,
101,32,20.69,10.1,24.5,29.46,2.43,11.0,Pickering,3.5,0.95,0.62,C,101,Bay Ridges,Current,11.8390060999054,1.17
306,24,26.12,14.0,28.0,32.25,2.0,10.4,Whitby,3.0,1.03,0.83,C,,,,,
315,22,11.0,5.46,11.0,29.8,2.01,4.0,Whitby,0.0,2.7,0.82,C,,,,,
