route_id,region,weekday_trips,avg_duration_min,avg_distance_km,avg_n_stops,avg_speed_kmh,stops_per_km,weekday_service_hours,median_headway_min,headway_cov,p90_headway_min,peak_trip_share
900,PULSE/Regional,165,59.66,27.34,53.75,27.7,1.97,164.1,12.0,0.2,14.7,0.364
920,PULSE/Regional,101,73.84,38.35,59.15,31.08,1.54,124.3,20.0,0.3,22.5,0.376
916,PULSE/Regional,101,60.2,30.1,66.23,30.31,2.2,101.3,20.0,0.13,24.6,0.356
915,PULSE/Regional,106,57.03,31.29,55.53,33.27,1.77,100.8,20.0,0.14,24.0,0.33
905,PULSE/Regional,117,48.97,26.67,50.78,31.15,1.9,95.5,15.0,0.49,31.4,0.385
901,PULSE/Regional,192,29.08,10.97,25.81,23.04,2.35,93.1,8.0,0.5,17.2,0.375
902,PULSE/Regional,96,57.55,24.0,46.62,25.18,1.94,92.1,20.0,0.22,29.5,0.375
917,PULSE/Regional,80,58.5,25.29,51.06,26.21,2.02,78.0,30.0,0.14,35.9,0.275
302,Whitby,85,47.84,24.55,48.66,31.02,1.98,67.8,30.0,0.29,30.0,0.388
921,PULSE/Regional,39,80.15,45.07,32.62,33.84,0.72,52.1,20.0,2.29,20.4,0.769
407,Oshawa,67,41.0,19.29,43.81,28.34,2.27,45.8,29.0,0.24,39.2,0.343
421,Oshawa,57,47.96,21.89,44.25,27.55,2.02,45.6,30.0,0.2,39.3,0.368
216,Ajax,101,26.36,11.62,33.73,26.78,2.9,44.4,17.5,0.39,30.0,0.455
121,Pickering,68,37.93,17.57,37.19,27.89,2.12,43.0,30.0,0.06,30.0,0.353
405,Oshawa,66,31.8,15.31,39.55,29.02,2.58,35.0,30.0,0.08,31.3,0.379
224,Ajax,68,30.68,14.1,38.59,28.25,2.74,34.8,30.0,0.07,30.6,0.353
502,Clarington,66,31.64,15.68,29.8,29.84,1.9,34.8,30.0,0.23,31.9,0.409
410,Oshawa,74,28.19,12.84,42.47,27.43,3.31,34.8,30.0,0.05,30.0,0.324
403,Oshawa,87,23.95,11.53,26.9,28.89,2.33,34.7,29.0,0.48,30.0,0.437
618,Rural,18,102.83,80.64,36.78,47.8,0.46,30.8,90.75,0.23,121.6,0.5
409,Oshawa,65,27.91,14.75,27.22,31.81,1.85,30.2,30.0,0.04,31.3,0.385
112,Pickering,56,31.0,18.21,28.54,35.36,1.57,28.9,30.0,0.09,32.4,0.429
423,Oshawa,54,28.98,13.96,42.0,28.98,3.01,26.1,30.0,0.05,30.0,0.444
419,Oshawa,65,23.25,9.02,17.43,23.45,1.93,25.2,30.0,0.05,31.0,0.369
118,Pickering,55,22.56,13.39,17.49,35.92,1.31,20.7,30.0,0.09,31.75,0.436
227,Ajax,25,46.96,19.99,47.52,25.55,2.38,19.6,30.0,1.7,79.8,0.76
319,Whitby,56,19.68,10.37,26.25,31.95,2.53,18.4,30.0,0.08,33.0,0.429
301,Whitby,53,19.4,10.57,27.34,33.12,2.59,17.1,30.0,0.18,42.75,0.377
211,Ajax,26,26.5,12.18,30.85,27.6,2.53,11.5,30.0,1.3,137.2,0.731
505,Clarington,30,20.13,8.86,12.2,28.07,1.38,10.1,30.0,1.87,30.0,0.7
605,Rural,21,24.0,10.35,27.0,25.86,2.61,8.4,44.0,0.34,60.0,0.381
392,Whitby,53,8.02,3.2,8.51,24.26,2.66,7.1,30.0,0.07,30.0,0.453
507,Clarington,12,30.17,21.1,18.33,42.05,0.87,6.0,60.0,1.18,360.6,0.667
101,Pickering,16,20.69,10.1,24.5,29.46,2.43,5.5,30.0,0.07,31.4,0.625
306,Whitby,12,26.75,14.0,28.0,31.54,2.0,5.4,30.0,0.04,31.8,0.833
315,Whitby,11,11.0,5.46,11.0,29.8,2.01,2.0,30.0,1.71,80.9,0.818
