route_url,route_text_color,route_color,agency_id,route_desc,route_short_name,route_id,route_type,route_long_name
,ffffff,006633,drt,,101,101,3,Route 101
,ffffff,006633,drt,,112,112,3,Route 112
,ffffff,006633,drt,,118,118,3,Route 118
,ffffff,006633,drt,,121,121,3,Route 121
,ffffff,006633,drt,,211,211,3,Route 211
,ffffff,006633,drt,,216,216,3,Route 216
,ffffff,006633,drt,,224,224,3,Route 224
,ffffff,006633,drt,,227,227,3,Route 227
,ffffff,006633,drt,,301,301,3,Route 301
,ffffff,006633,drt,,302,302,3,Route 302
,ffffff,006633,drt,,306,306,3,Route 306
,ffffff,006633,drt,,315,315,3,Route 315
,ffffff,006633,drt,,319,319,3,Route 319
,ffffff,006633,drt,,392,392,3,Route 392
,ffffff,006633,drt,,403,403,3,Route 403
,ffffff,006633,drt,,405,405,3,Route 405
,ffffff,006633,drt,,407,407,3,Route 407
,ffffff,006633,drt,,409,409,3,Route 409
,ffffff,006633,drt,,410,410,3,Route 410
,ffffff,006633,drt,,419,419,3,Route 419
,ffffff,006633,drt,,421,421,3,Route 421
,ffffff,006633,drt,,423,423,3,Route 423
,ffffff,006633,drt,,502,502,3,Route 502
,ffffff,006633,drt,,505,505,3,Route 505
,ffffff,006633,drt,,507,507,3,Route 507
,ffffff,006633,drt,,605,605,3,Route 605
,ffffff,006633,drt,,618,618,3,Route 618
,000000,cc6600,drt,,900,900,3,PULSE 900
,000000,cc6600,drt,,901,901,3,PULSE 901
,ffffff,006633,drt,,902,902,3,Route 902
,ffffff,006633,drt,,905,905,3,Route 905
,000000,cc6600,drt,,915,915,3,PULSE 915
,000000,cc6600,drt,,916,916,3,PULSE 916
,ffffff,006633,drt,,917,917,3,Route 917
,ffffff,006633,drt,,920,920,3,Route 920
,ffffff,006633,drt,,921,921,3,Route 921
,ffffff,0000ff,drt,,N1,N1,3,Route N1
,ffffff,0000ff,drt,,N2,N2,3,Route N2
,ffffff,006633,drt,,411,411,3,Route 411
