stop_code,stop_id,parent_station,preferred,stop_lat,stop_timezone,stop_name,stop_url,wheelchair_boarding,stop_desc,location_type,stop_lon,zone_id
10,10,,2,43.90333273838791,,Garden Northbound @ Bassett (South stop),,1,,0,-78.94155897953233,
100,100,,2,43.87593224,,McQuay Northbound @ Dundas,,1,,0,-78.961715,
1000,1000,,2,43.87268331,,Glen Northbound @ Medina,,1,,0,-78.855412,
1001,1001,,2,43.87529628,,Northbound @ 825 Glen,,1,,0,-78.856489,
1002,1002,,2,43.875507,,Malaga Westbound @ Oxford,,1,,0,-78.858799,
1003,1003,,1,43.874698,,Malaga Westbound @ Park,,1,,0,-78.862502,
101,101,,2,43.878431,,McQuay Northbound @ Moonstone,,1,,0,-78.96314599999998,
1014,1014,,2,43.87443,,Malaga Eastbound @ Park,,1,,0,-78.863301,
1015,1015,,2,43.875032,,Malaga Eastbound @ Oxford (West side stop),,1,,0,-78.86054799999998,
1016,1016,,2,43.875586,,Malaga Eastbound @ Oxford (East side stop),,1,,0,-78.857982,
1017,1017,,2,43.87507063000001,,Southbound @ 830 Glen,,1,,0,-78.85656,
1018,1018,,2,43.87281378,,Glen Southbound @ Medina,,1,,0,-78.855636,
1019,1019,,2,43.871258,,Glen Southbound @ Porter,,1,,0,-78.854967,
102,102,,2,43.879593,,McQuay Northbound @ Kennett,,1,,0,-78.965224,
1020,1020,,2,43.87253,,Wentworth Eastbound @ Ravine,,1,,0,-78.84718,
1023,1023,,2,43.872059,,Simcoe Southbound @ Ritson,,1,,0,-78.841181,
1024,1024,,2,43.870666,,Simcoe Southbound @ Wellington,,1,,0,-78.8386,
1025,1025,,2,43.86897900000001,,Simcoe Southbound @ Kawartha,,1,,0,-78.835431,
1027,1027,,2,43.863287,,Westbound @ 60 Lakeview Park,,1,,0,-78.82959099999998,
1029,1029,,2,43.861379,,Lakeview Park Westbound @ Ritson,,1,,0,-78.836721,
103,103,,2,43.881326,,McQuay Northbound @ Balsdon,,1,,0,-78.966408,
1030,1030,,2,43.86425,,Valley Westbound @ Ritson,,1,,0,-78.83846,
1032,1032,,2,43.86300700000001,,Phillip Murray Southbound @ Scugog,,1,,0,-78.84441,
1033,1033,,2,43.86144322995122,,Cedar Northbound @ Phillip Murray,,1,,0,-78.84781779532226,
104,104,,2,43.8836627,,McQuay Northbound @ Bonacord,,1,,0,-78.9673866,
1052,1052,,1,43.867405,,Eastbound @ 1733 Victoria,,1,,0,-78.899322,
1053,1053,,2,43.8748675,,Eastbound @ 555 Bloor,,1,,0,-78.8787787,
1055,1055,,2,43.878406,,Eastbound @ 249 Bloor,,1,,0,-78.864296,
1056,1056,,2,43.879381,,Bloor Eastbound @ Oxford,,1,,0,-78.860118,
1057,1057,,2,43.880241,,Bloor Eastbound @ Simcoe,,1,,0,-78.856285,
1058,1058,,2,43.880885,,Bloor Eastbound @ Albert,,1,,0,-78.853414,
1059,1059,,2,43.8816337,,Bloor Eastbound @ Merritt,,1,,0,-78.8499396,
106,106,,2,43.888336,,McQuay Northbound @ Renfield,,1,,0,-78.969264,
1066,1066,,2,43.888433,,Eastbound @ 887 Bloor,,1,,0,-78.819826,
1067,1067,,2,43.889648,,Grandview Southbound @ Bloor (South side stop),,1,,0,-78.813063,
1068,1068,,2,43.88767,,Grandview Southbound @ Downview,,1,,0,-78.810582,
1069,1069,,2,43.88659650000001,,Grandview Southbound @ Norman,,1,,0,-78.8095866,
107,107,,2,43.89000200000001,,McQuay Northbound @ Jacob,,1,,0,-78.97109399999998,
1070,1070,,2,43.886499,,Grandview Eastbound @ Southdown,,1,,0,-78.806985,
1071,1071,,2,43.88752003,,Townline Northbound @ Grandview,,1,,0,-78.80497908,
108,108,,2,43.889791,,McQuay Westbound @ Muir,,1,,0,-78.97463999999998,
1080,1080,,2,43.888469,,Westbound @ 882 Bloor,,1,,0,-78.820015,
1088,1088,,2,43.881681,,Bloor Westbound @ Merritt,,1,,0,-78.85046,
1089,1089,,2,43.880638,,Bloor Westbound @ Simcoe,,1,,0,-78.855267,
1090,1090,,2,43.8794327,,Bloor Westbound @ Oxford,,1,,0,-78.86027799999998,
1091,1091,,2,43.878553,,Bloor Westbound @ Park,,1,,0,-78.864334,
1096,1096,,2,43.874477,,Simcoe Northbound @ Wentworth,,1,,0,-78.845479,
1097,1097,,2,43.876246,,Simcoe Northbound @ Wolfe,,1,,0,-78.848778,
11,11,,2,43.898916,,Garden Northbound @ Rossland (Durham Region Headquarters),,1,,0,-78.939531,
110,110,,2,43.894933,,Country Lane Northbound @ Rossland,,1,,0,-78.965943,
1101,1101,,2,43.878222,,Eastbound @ 1189 Colonel Sam,,1,,0,-78.807633,
1118,1118,,2,43.884732,,Farewell Southbound @ Bloor,,1,,0,-78.83069399999998,
1119,1119,,1,43.881319,,Farewell Southbound @ Raleigh,,1,,0,-78.829233,
1120,1120,,2,43.8799536,,Farewell Southbound @ Wentworth,,1,,0,-78.8286811,
1132,1132,,2,43.887357,,Park Northbound @ Quebec,,1,,0,-78.869767,
1133,1133,,1,43.90656,,King Westbound @ Townline,,1,,0,-78.81421,
1135,1135,,2,43.905816,,King Westbound @ Kingsway College,,1,,0,-78.821771,
1136,1136,,2,43.90592800000001,,King Westbound @ Keewatin,,1,,0,-78.827635,
